[2017/6/7 15:10:24]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:25]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:26]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:27]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:28]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:29]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:30]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:31]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:32]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:33]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:34]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:35]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:36]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:37]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:38]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:39]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:40]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:41]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:42]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:43]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
[2017/6/7 15:10:44]: 导出任务失败 节目ID： 错误信息：将字符串转换为 uniqueidentifier 时失败。
